,precision,recall,f1-score,support
CNV,0.9856065798492117,0.9618729096989966,0.973595125253893,7475.0
DME,0.950938566552901,0.9616048317515099,0.9562419562419563,2318.0
DRUSEN,0.8714128035320088,0.8976691301876066,0.8843461215345841,1759.0
NORMAL,0.9666666666666667,0.9850915267031516,0.9757921301056174,5299.0
accuracy,0.9624354637706961,0.9624354637706961,0.9624354637706961,0.9624354637706961
macro avg,0.9436561541501971,0.9515595995853161,0.9474938332840126,16851.0
weighted avg,0.9629616384619282,0.9624354637706961,0.9625826206783399,16851.0
